"Notes"	"County of Residence"	"County of Residence Code"	"Sex of Infant"	"Sex of Infant Code"	"NICU Admission"	"NICU Admission Code"	"OE Gestational Age Recode 10"	"OE Gestational Age Recode 10 Code"	Births	% of Total Births
	"Cook County, IL"	"17031"	"Male"	"M"	"No"	"2"	"36 weeks"	"05"	856	0.02%
	"Pima County, AZ"	"04019"	"Female"	"F"	"No"	"2"	"40 weeks"	"07"	859	0.02%
	"St. Johns County, FL"	"12109"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	859	0.02%
	"Muscogee County, GA"	"13215"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	859	0.02%
	"Montgomery County, PA"	"42091"	"Female"	"F"	"No"	"2"	"40 weeks"	"07"	862	0.02%
	"Unidentified Counties, LA"	"22999"	"Female"	"F"	"No"	"2"	"40 weeks"	"07"	862	0.02%
	"Larimer County, CO"	"08069"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	867	0.02%
	"Unidentified Counties, AZ"	"04999"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	868	0.02%
	"Dauphin County, PA"	"42043"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	868	0.02%
	"Minnehaha County, SD"	"46099"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	868	0.02%
	"Tuscaloosa County, AL"	"01125"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	869	0.02%
	"Unidentified Counties, AZ"	"04999"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	869	0.02%
	"Erie County, PA"	"42049"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	870	0.02%
	"Hall County, GA"	"13139"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	871	0.02%
	"Thurston County, WA"	"53067"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	872	0.02%
	"Johnson County, TX"	"48251"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	872	0.02%
	"Ventura County, CA"	"06111"	"Male"	"M"	"No"	"2"	"40 weeks"	"07"	874	0.02%
	"Dona Ana County, NM"	"35013"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	874	0.02%
	"Richmond city, VA"	"51760"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	875	0.02%
	"Cook County, IL"	"17031"	"Male"	"M"	"Yes"	"1"	"32 - 35 weeks"	"04"	876	0.02%
	"Cabarrus County, NC"	"37025"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	876	0.02%
	"Hall County, GA"	"13139"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	877	0.02%
	"Kings County, NY"	"36047"	"Male"	"M"	"Yes"	"1"	"37 - 39 weeks"	"06"	877	0.02%
	"Gloucester County, NJ"	"34015"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	880	0.02%
	"Yuma County, AZ"	"04027"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	881	0.02%
	"Henry County, GA"	"13151"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	881	0.02%
	"Cabarrus County, NC"	"37025"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	881	0.02%
	"Lane County, OR"	"41039"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	883	0.02%
	"Utah County, UT"	"49049"	"Female"	"F"	"No"	"2"	"40 weeks"	"07"	883	0.02%
	"Milwaukee County, WI"	"55079"	"Male"	"M"	"No"	"2"	"40 weeks"	"07"	885	0.02%
	"Tuscaloosa County, AL"	"01125"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	886	0.02%
	"Linn County, IA"	"19113"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	887	0.02%
	"Northampton County, PA"	"42095"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	888	0.02%
	"Washington County, MN"	"27163"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	890	0.02%
	"Montgomery County, AL"	"01101"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	890	0.02%
	"Montgomery County, PA"	"42091"	"Male"	"M"	"No"	"2"	"40 weeks"	"07"	890	0.02%
	"Linn County, IA"	"19113"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	890	0.02%
	"Baldwin County, AL"	"01003"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	891	0.02%
	"King County, WA"	"53033"	"Male"	"M"	"No"	"2"	"41 weeks"	"08"	892	0.02%
	"Frederick County, MD"	"24021"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	893	0.02%
	"Okaloosa County, FL"	"12091"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	894	0.02%
	"Larimer County, CO"	"08069"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	895	0.02%
	"Calcasieu Parish, LA"	"22019"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	897	0.02%
	"Unidentified Counties, TX"	"48999"	"Female"	"F"	"Yes"	"1"	"32 - 35 weeks"	"04"	899	0.02%
	"Unidentified Counties, LA"	"22999"	"Male"	"M"	"No"	"2"	"40 weeks"	"07"	900	0.03%
	"DeKalb County, GA"	"13089"	"Male"	"M"	"No"	"2"	"40 weeks"	"07"	902	0.03%
	"Madison County, IL"	"17119"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	903	0.03%
	"Caddo Parish, LA"	"22017"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	903	0.03%
	"Montgomery County, AL"	"01101"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	905	0.03%
	"Ellis County, TX"	"48139"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	905	0.03%
	"Unidentified Counties, CA"	"06999"	"Female"	"F"	"No"	"2"	"40 weeks"	"07"	906	0.03%
	"Unidentified Counties, CA"	"06999"	"Male"	"M"	"No"	"2"	"40 weeks"	"07"	906	0.03%
	"Henry County, GA"	"13151"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	906	0.03%
	"Hinds County, MS"	"28049"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	907	0.03%
	"Cuyahoga County, OH"	"39035"	"Female"	"F"	"No"	"2"	"40 weeks"	"07"	909	0.03%
	"Cumberland County, ME"	"23005"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	909	0.03%
	"Howard County, MD"	"24027"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	910	0.03%
	"Maricopa County, AZ"	"04013"	"Male"	"M"	"No"	"2"	"36 weeks"	"05"	910	0.03%
	"Sarasota County, FL"	"12115"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	910	0.03%
	"Lane County, OR"	"41039"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	910	0.03%
	"Dallas County, TX"	"48113"	"Male"	"M"	"No"	"2"	"41 weeks"	"08"	910	0.03%
	"Unidentified Counties, GA"	"13999"	"Male"	"M"	"Yes"	"1"	"37 - 39 weeks"	"06"	911	0.03%
	"Honolulu County, HI"	"15003"	"Female"	"F"	"No"	"2"	"40 weeks"	"07"	914	0.03%
	"Allegheny County, PA"	"42003"	"Male"	"M"	"No"	"2"	"40 weeks"	"07"	917	0.03%
	"Unidentified Counties, ID"	"16999"	"Male"	"M"	"No"	"2"	"40 weeks"	"07"	918	0.03%
	"Denton County, TX"	"48121"	"Male"	"M"	"No"	"2"	"40 weeks"	"07"	918	0.03%
	"Essex County, NJ"	"34013"	"Male"	"M"	"No"	"2"	"40 weeks"	"07"	919	0.03%
	"Luzerne County, PA"	"42079"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	923	0.03%
	"Ellis County, TX"	"48139"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	923	0.03%
	"Westchester County, NY"	"36119"	"Male"	"M"	"No"	"2"	"40 weeks"	"07"	923	0.03%
	"Howard County, MD"	"24027"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	924	0.03%
	"Gloucester County, NJ"	"34015"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	925	0.03%
	"Hinds County, MS"	"28049"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	926	0.03%
	"Essex County, NJ"	"34013"	"Female"	"F"	"No"	"2"	"40 weeks"	"07"	927	0.03%
	"DeKalb County, GA"	"13089"	"Female"	"F"	"No"	"2"	"40 weeks"	"07"	928	0.03%
	"Davidson County, TN"	"47037"	"Female"	"F"	"No"	"2"	"40 weeks"	"07"	929	0.03%
	"Johnston County, NC"	"37101"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	931	0.03%
	"Chesapeake city, VA"	"51550"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	932	0.03%
	"Westmoreland County, PA"	"42129"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	934	0.03%
	"Fairfield County, CT"	"09001"	"Female"	"F"	"No"	"2"	"40 weeks"	"07"	935	0.03%
	"Caddo Parish, LA"	"22017"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	935	0.03%
	"Johnston County, NC"	"37101"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	936	0.03%
	"Norfolk city, VA"	"51710"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	938	0.03%
	"Washtenaw County, MI"	"26161"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	939	0.03%
	"Gaston County, NC"	"37071"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	941	0.03%
	"Harris County, TX"	"48201"	"Female"	"F"	"No"	"2"	"41 weeks"	"08"	942	0.03%
	"Honolulu County, HI"	"15003"	"Male"	"M"	"No"	"2"	"40 weeks"	"07"	944	0.03%
	"Allegheny County, PA"	"42003"	"Female"	"F"	"No"	"2"	"40 weeks"	"07"	945	0.03%
	"Muscogee County, GA"	"13215"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	945	0.03%
	"Calcasieu Parish, LA"	"22019"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	945	0.03%
	"Madison County, IL"	"17119"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	947	0.03%
	"Davidson County, TN"	"47037"	"Male"	"M"	"No"	"2"	"40 weeks"	"07"	948	0.03%
	"Jefferson County, TX"	"48245"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	948	0.03%
	"Westchester County, NY"	"36119"	"Female"	"F"	"No"	"2"	"40 weeks"	"07"	948	0.03%
	"Snohomish County, WA"	"53061"	"Male"	"M"	"No"	"2"	"40 weeks"	"07"	951	0.03%
	"Clay County, MO"	"29047"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	951	0.03%
	"Washtenaw County, MI"	"26161"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	953	0.03%
	"Yuma County, AZ"	"04027"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	954	0.03%
	"Sarasota County, FL"	"12115"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	955	0.03%
	"Brown County, WI"	"55009"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	958	0.03%
	"Greene County, MO"	"29077"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	959	0.03%
	"Cleveland County, OK"	"40027"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	959	0.03%
	"Pierce County, WA"	"53053"	"Male"	"M"	"No"	"2"	"40 weeks"	"07"	959	0.03%
	"Cherokee County, GA"	"13057"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	962	0.03%
	"Westmoreland County, PA"	"42129"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	963	0.03%
	"Clay County, MO"	"29047"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	964	0.03%
	"Brazos County, TX"	"48041"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	966	0.03%
	"King County, WA"	"53033"	"Female"	"F"	"No"	"2"	"41 weeks"	"08"	966	0.03%
	"Pierce County, WA"	"53053"	"Female"	"F"	"No"	"2"	"40 weeks"	"07"	968	0.03%
	"Fairfield County, CT"	"09001"	"Male"	"M"	"No"	"2"	"40 weeks"	"07"	969	0.03%
	"McHenry County, IL"	"17111"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	969	0.03%
	"Unidentified Counties, ID"	"16999"	"Female"	"F"	"No"	"2"	"40 weeks"	"07"	970	0.03%
	"St. Tammany Parish, LA"	"22103"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	973	0.03%
	"St. Tammany Parish, LA"	"22103"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	976	0.03%
	"Dallas County, TX"	"48113"	"Female"	"F"	"No"	"2"	"41 weeks"	"08"	981	0.03%
	"Harris County, TX"	"48201"	"Male"	"M"	"No"	"2"	"41 weeks"	"08"	981	0.03%
	"Smith County, TX"	"48423"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	981	0.03%
	"Ottawa County, MI"	"26139"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	984	0.03%
	"Brazos County, TX"	"48041"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	984	0.03%
	"York County, SC"	"45091"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	985	0.03%
	"Cherokee County, GA"	"13057"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	987	0.03%
	"Anchorage Borough, AK"	"02020"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	988	0.03%
	"St. Joseph County, IN"	"18141"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	988	0.03%
	"Minnehaha County, SD"	"46099"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	988	0.03%
	"Baldwin County, AL"	"01003"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	989	0.03%
	"Milwaukee County, WI"	"55079"	"Female"	"F"	"No"	"2"	"40 weeks"	"07"	990	0.03%
	"Prince George's County, MD"	"24033"	"Male"	"M"	"No"	"2"	"40 weeks"	"07"	991	0.03%
	"Kaufman County, TX"	"48257"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	995	0.03%
	"Greene County, MO"	"29077"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	998	0.03%
	"Berkeley County, SC"	"45015"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	999	0.03%
	"Denton County, TX"	"48121"	"Female"	"F"	"No"	"2"	"40 weeks"	"07"	999	0.03%
	"Dauphin County, PA"	"42043"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	1001	0.03%
	"St. Joseph County, IN"	"18141"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	1004	0.03%
	"Lorain County, OH"	"39093"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	1005	0.03%
	"Clackamas County, OR"	"41005"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	1007	0.03%
	"Yakima County, WA"	"53077"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	1010	0.03%
	"Kaufman County, TX"	"48257"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	1010	0.03%
	"Somerset County, NJ"	"34035"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	1012	0.03%
	"Canyon County, ID"	"16027"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	1014	0.03%
	"Montgomery County, MD"	"24031"	"Male"	"M"	"No"	"2"	"40 weeks"	"07"	1016	0.03%
	"Frederick County, MD"	"24021"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	1017	0.03%
	"Luzerne County, PA"	"42079"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	1018	0.03%
	"St. Louis city, MO"	"29510"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	1020	0.03%
	"Onslow County, NC"	"37133"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	1021	0.03%
	"Unidentified Counties, TX"	"48999"	"Female"	"F"	"No"	"2"	"36 weeks"	"05"	1023	0.03%
	"Cleveland County, OK"	"40027"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	1025	0.03%
	"Marion County, FL"	"12083"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	1028	0.03%
	"Harris County, TX"	"48201"	"Female"	"F"	"Yes"	"1"	"32 - 35 weeks"	"04"	1028	0.03%
	"Canyon County, ID"	"16027"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	1030	0.03%
	"Lexington County, SC"	"45063"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	1031	0.03%
	"Collin County, TX"	"48085"	"Male"	"M"	"No"	"2"	"40 weeks"	"07"	1032	0.03%
	"McHenry County, IL"	"17111"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	1036	0.03%
	"Cook County, IL"	"17031"	"Female"	"F"	"Yes"	"1"	"37 - 39 weeks"	"06"	1037	0.03%
	"Unidentified Counties, TX"	"48999"	"Male"	"M"	"Yes"	"1"	"32 - 35 weeks"	"04"	1037	0.03%
	"Jefferson County, TX"	"48245"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	1038	0.03%
	"Brown County, WI"	"55009"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	1039	0.03%
	"Somerset County, NJ"	"34035"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	1040	0.03%
	"Washington County, AR"	"05143"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	1041	0.03%
	"St. Louis city, MO"	"29510"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	1042	0.03%
	"Contra Costa County, CA"	"06013"	"Female"	"F"	"No"	"2"	"40 weeks"	"07"	1044	0.03%
	"Duval County, FL"	"12031"	"Female"	"F"	"No"	"2"	"40 weeks"	"07"	1046	0.03%
	"Gwinnett County, GA"	"13135"	"Male"	"M"	"No"	"2"	"40 weeks"	"07"	1046	0.03%
	"York County, SC"	"45091"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	1046	0.03%
	"Unidentified Counties, WA"	"53999"	"Male"	"M"	"No"	"2"	"40 weeks"	"07"	1047	0.03%
	"Unidentified Counties, MS"	"28999"	"Male"	"M"	"No"	"2"	"40 weeks"	"07"	1047	0.03%
	"Unidentified Counties, VT"	"50999"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	1047	0.03%
	"Prince George's County, MD"	"24033"	"Female"	"F"	"No"	"2"	"40 weeks"	"07"	1051	0.03%
	"Los Angeles County, CA"	"06037"	"Female"	"F"	"Yes"	"1"	"32 - 35 weeks"	"04"	1051	0.03%
	"Fulton County, GA"	"13121"	"Male"	"M"	"No"	"2"	"40 weeks"	"07"	1051	0.03%
	"Yakima County, WA"	"53077"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	1052	0.03%
	"Winnebago County, IL"	"17201"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	1052	0.03%
	"Placer County, CA"	"06061"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	1053	0.03%
	"Clayton County, GA"	"13063"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	1053	0.03%
	"Washington County, AR"	"05143"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	1054	0.03%
	"Berkeley County, SC"	"45015"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	1055	0.03%
	"Unidentified Counties, NV"	"32999"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	1056	0.03%
	"Winnebago County, IL"	"17201"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	1056	0.03%
	"Midland County, TX"	"48329"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	1056	0.03%
	"Anchorage Borough, AK"	"02020"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	1057	0.03%
	"Collier County, FL"	"12021"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	1057	0.03%
	"Clayton County, GA"	"13063"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	1057	0.03%
	"Snohomish County, WA"	"53061"	"Female"	"F"	"No"	"2"	"40 weeks"	"07"	1058	0.03%
	"Lorain County, OH"	"39093"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	1060	0.03%
	"Smith County, TX"	"48423"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	1063	0.03%
	"Ottawa County, MI"	"26139"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	1064	0.03%
	"Unidentified Counties, FL"	"12999"	"Female"	"F"	"No"	"2"	"40 weeks"	"07"	1064	0.03%
	"Salt Lake County, UT"	"49035"	"Female"	"F"	"No"	"2"	"40 weeks"	"07"	1064	0.03%
	"Contra Costa County, CA"	"06013"	"Male"	"M"	"No"	"2"	"40 weeks"	"07"	1065	0.03%
	"Salt Lake County, UT"	"49035"	"Male"	"M"	"No"	"2"	"40 weeks"	"07"	1068	0.03%
	"Montgomery County, MD"	"24031"	"Female"	"F"	"No"	"2"	"40 weeks"	"07"	1069	0.03%
	"Unidentified Counties, TX"	"48999"	"Male"	"M"	"No"	"2"	"36 weeks"	"05"	1071	0.03%
	"Collier County, FL"	"12021"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	1072	0.03%
	"Unidentified Counties, VA"	"51999"	"Male"	"M"	"No"	"2"	"41 weeks"	"08"	1075	0.03%
	"Clackamas County, OR"	"41005"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	1079	0.03%
	"Lafayette Parish, LA"	"22055"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	1079	0.03%
	"Placer County, CA"	"06061"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	1081	0.03%
	"St. Lucie County, FL"	"12111"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	1082	0.03%
	"Fairfax County, VA"	"51059"	"Male"	"M"	"No"	"2"	"40 weeks"	"07"	1084	0.03%
	"Unidentified Counties, VA"	"51999"	"Female"	"F"	"No"	"2"	"41 weeks"	"08"	1085	0.03%
	"Duval County, FL"	"12031"	"Male"	"M"	"No"	"2"	"40 weeks"	"07"	1086	0.03%
	"Gwinnett County, GA"	"13135"	"Female"	"F"	"No"	"2"	"40 weeks"	"07"	1086	0.03%
	"Kings County, NY"	"36047"	"Female"	"F"	"No"	"2"	"41 weeks"	"08"	1088	0.03%
	"Weber County, UT"	"49057"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	1091	0.03%
	"Marion County, FL"	"12083"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	1093	0.03%
	"McLennan County, TX"	"48309"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	1099	0.03%
	"San Diego County, CA"	"06073"	"Male"	"M"	"No"	"2"	"41 weeks"	"08"	1101	0.03%
	"Collin County, TX"	"48085"	"Female"	"F"	"No"	"2"	"40 weeks"	"07"	1101	0.03%
	"Ector County, TX"	"48135"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	1104	0.03%
	"Hays County, TX"	"48209"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	1104	0.03%
	"Unidentified Counties, ME"	"23999"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	1104	0.03%
	"Marion County, IN"	"18097"	"Female"	"F"	"No"	"2"	"40 weeks"	"07"	1106	0.03%
	"Marion County, OR"	"41047"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	1108	0.03%
	"Unidentified Counties, NV"	"32999"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	1109	0.03%
	"Midland County, TX"	"48329"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	1109	0.03%
	"Kings County, NY"	"36047"	"Male"	"M"	"No"	"2"	"41 weeks"	"08"	1111	0.03%
	"Unidentified Counties, VT"	"50999"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	1112	0.03%
	"Unidentified Counties, WA"	"53999"	"Female"	"F"	"No"	"2"	"40 weeks"	"07"	1114	0.03%
	"Unidentified Counties, FL"	"12999"	"Male"	"M"	"No"	"2"	"40 weeks"	"07"	1114	0.03%
	"Unidentified Counties, MS"	"28999"	"Female"	"F"	"No"	"2"	"40 weeks"	"07"	1117	0.03%
	"Horry County, SC"	"45051"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	1117	0.03%
	"Weber County, UT"	"49057"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	1117	0.03%
	"Ector County, TX"	"48135"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	1118	0.03%
	"Lexington County, SC"	"45063"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	1121	0.03%
	"San Diego County, CA"	"06073"	"Female"	"F"	"No"	"2"	"41 weeks"	"08"	1123	0.03%
	"Unidentified Counties, AR"	"05999"	"Male"	"M"	"No"	"2"	"40 weeks"	"07"	1128	0.03%
	"Harris County, TX"	"48201"	"Female"	"F"	"Yes"	"1"	"37 - 39 weeks"	"06"	1131	0.03%
	"Hillsborough County, NH"	"33011"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	1132	0.03%
	"Lehigh County, PA"	"42077"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	1133	0.03%
	"Escambia County, FL"	"12033"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	1135	0.03%
	"Unidentified Counties, ME"	"23999"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	1137	0.03%
	"Anoka County, MN"	"27003"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	1138	0.03%
	"Lafayette Parish, LA"	"22055"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	1138	0.03%
	"Oakland County, MI"	"26125"	"Male"	"M"	"No"	"2"	"40 weeks"	"07"	1139	0.03%
	"Onslow County, NC"	"37133"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	1139	0.03%
	"St. Lucie County, FL"	"12111"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	1139	0.03%
	"Henrico County, VA"	"51087"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	1139	0.03%
	"Fulton County, GA"	"13121"	"Female"	"F"	"No"	"2"	"40 weeks"	"07"	1145	0.03%
	"Montgomery County, TN"	"47125"	"Male"	"M"	"No"	"2"	"37 - 39 weeks"	"06"	1147	0.03%
	"Shelby County, TN"	"47157"	"Male"	"M"	"No"	"2"	"40 weeks"	"07"	1147	0.03%
	"Unidentified Counties, TX"	"48999"	"Male"	"M"	"Yes"	"1"	"37 - 39 weeks"	"06"	1149	0.03%
	"Shelby County, TN"	"47157"	"Female"	"F"	"No"	"2"	"40 weeks"	"07"	1150	0.03%
	"Merced County, CA"	"06047"	"Female"	"F"	"No"	"2"	"37 - 39 weeks"	"06"	1151	0.03%
	"Unidentified Counties, AR"	"05999"	"Female"	"F"	"No"	"2"	"40 weeks"	"07"	1154	0.03%
