"Notes"	"County of Residence"	"County of Residence Code"	Births	Total Population	Birth Rate	Female Population	Fertility Rate	% of Total Births	Average Age of Mother (years)	Average OE Gestational Age (weeks)	Average LMP Gestational Age (weeks)	Average Birth Weight (grams)	Average Number of Prenatal Visits	Average Interval Since Last Live Birth (months)	Average Interval Since Last Other Pregnancy Outcome (months)
	"Virginia Beach city, VA"	"51810"	43351	3621370	11.97	748700	57.90	0.15%	29.49	38.41	38.72	3277.17	12.21	52.25	54.60
	"Unidentified Counties, VA"	"51999"	302375	29399551	10.29	5361762	56.39	1.01%	28.56	38.45	38.64	3272.27	11.44	50.24	49.21
	"Benton County, WA"	"53005"	20434	1642585	12.44	316958	64.47	0.07%	28.51	38.56	38.76	3337.53	10.72	48.58	46.14
	"Clark County, WA"	"53011"	44252	3957957	11.18	770324	57.45	0.15%	29.30	38.70	38.78	3335.77	10.94	47.76	48.96
	"Cowlitz County, WA"	"53015"	9943	879365	11.31	156577	63.50	0.03%	27.78	38.59	38.79	3346.01	11.80	49.06	49.77
	"King County, WA"	"53033"	192361	17889353	10.75	3879497	49.58	0.64%	31.71	38.69	38.85	3312.11	11.12	47.65	41.95
	"Kitsap County, WA"	"53035"	23231	2174935	10.68	391500	59.34	0.08%	29.13	38.71	38.89	3378.02	9.71	47.55	42.96
	"Pierce County, WA"	"53053"	89152	7230029	12.33	1471753	60.58	0.30%	29.09	38.60	38.81	3338.25	10.64	49.35	43.29
	"Skagit County, WA"	"53057"	11238	1030792	10.90	179826	62.49	0.04%	28.90	38.72	38.87	3370.20	10.07	49.53	46.25
	"Snohomish County, WA"	"53061"	78196	6575010	11.89	1305503	59.90	0.26%	30.52	38.66	38.85	3340.53	10.93	47.00	44.76
	"Spokane County, WA"	"53063"	46777	4218063	11.09	839215	55.74	0.16%	28.82	38.58	38.87	3317.14	11.20	45.63	46.05
	"Thurston County, WA"	"53067"	24363	2322577	10.49	457834	53.21	0.08%	29.27	38.70	38.88	3368.68	11.09	48.70	50.37
	"Whatcom County, WA"	"53073"	16530	1815579	9.10	386436	42.78	0.06%	29.82	38.77	38.95	3405.47	10.72	46.11	44.86
	"Yakima County, WA"	"53077"	28439	2023706	14.05	397617	71.52	0.10%	27.89	38.48	38.05	3305.37	11.07	55.22	46.15
	"Unidentified Counties, WA"	"53999"	95393	9115246	10.47	1590013	60.00	0.32%	28.44	38.60	38.84	3342.37	10.80	49.61	48.99
	"Berkeley County, WV"	"54003"	11835	974863	12.14	189892	62.32	0.04%	28.05	38.37	38.68	3290.43	11.39	49.82	45.15
	"Kanawha County, WV"	"54039"	14232	1432637	9.93	254133	56.00	0.05%	27.37	37.86	38.03	3195.20	11.43	50.45	50.16
	"Unidentified Counties, WV"	"54999"	116127	11950411	9.72	2094006	55.46	0.39%	27.15	38.17	38.40	3227.97	11.52	48.02	42.78
	"Brown County, WI"	"55009"	24882	2126027	11.70	413713	60.14	0.08%	29.01	38.37	38.65	3312.73	13.47	44.56	38.97
	"Dane County, WI"	"55025"	45946	4416785	10.40	994887	46.18	0.15%	30.86	38.55	38.67	3320.31	12.06	44.72	39.18
	"Fond du Lac County, WI"	"55039"	8214	826209	9.94	149371	54.99	0.03%	28.74	38.34	38.52	3312.91	11.06	45.30	40.20
	"Kenosha County, WI"	"55059"	14276	1349263	10.58	264295	54.02	0.05%	28.73	38.40	38.63	3281.19	11.60	49.05	42.82
	"La Crosse County, WI"	"55063"	9138	952357	9.60	210017	43.51	0.03%	29.73	38.78	38.83	3343.77	11.32	44.15	39.52
	"Marathon County, WI"	"55073"	11870	1092266	10.87	190916	62.17	0.04%	29.09	38.46	38.68	3327.00	11.28	42.55	40.65
	"Milwaukee County, WI"	"55079"	100574	7505401	13.40	1629825	61.71	0.34%	28.70	38.24	38.42	3180.83	11.19	49.77	48.08
	"Outagamie County, WI"	"55087"	17277	1511507	11.43	285908	60.43	0.06%	29.59	38.40	38.63	3350.02	13.97	42.70	41.23
	"Racine County, WI"	"55101"	17796	1569263	11.34	281884	63.13	0.06%	28.52	38.24	38.49	3243.70	11.22	47.74	42.10
	"Rock County, WI"	"55105"	14816	1306215	11.34	242075	61.20	0.05%	28.22	38.32	38.62	3291.68	11.57	48.42	46.96
	"Sheboygan County, WI"	"55117"	9421	930147	10.13	159630	59.02	0.03%	29.03	38.54	38.70	3322.24	11.90	44.84	39.16
	"Walworth County, WI"	"55127"	7331	835581	8.77	155555	47.13	0.02%	29.32	38.47	38.76	3341.53	11.82	46.15	42.89
	"Washington County, WI"	"55131"	10223	1090600	9.37	182537	56.01	0.03%	30.35	38.41	38.63	3335.99	12.52	42.75	38.34
	"Waukesha County, WI"	"55133"	30582	3244268	9.43	557433	54.86	0.10%	31.29	38.44	38.65	3342.29	12.98	42.02	39.29
	"Winnebago County, WI"	"55139"	14056	1368934	10.27	267341	52.58	0.05%	29.21	38.42	38.62	3325.15	13.41	44.26	42.76
	"Unidentified Counties, WI"	"55999"	164734	16617427	9.91	2781826	59.22	0.55%	29.00	38.56	38.77	3367.00	11.39	43.21	43.17
	"Unidentified Counties, WY"	"56999"	51820	4647881	11.15	869507	59.60	0.17%	28.12	38.41	38.52	3177.36	10.69	45.61	44.23
"Total"			29882341	2633833968	11.35	517212022	57.78	100.00%	29.17	38.39	38.55	3254.40	11.14	50.44	46.71
"---"
"Dataset: Natality, 2016-2023 expanded"
"Query Parameters:"
"Title: Data"
"Group By: County of Residence"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/Natality-expanded.html for more information."
"---"
"Query Date: Nov 12, 2024 11:47:26 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2023, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Nov 12, 2024 11:47:26 AM"
"---"
Caveats:
"1. 'Not Available' appears when the denominator population for a rate measure is not available."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
"4. Birth rates are calculated as the number of births divided by total population in the given year(s). When the numerator is"
"sub-set by mother's race, mother's hispanicity, location, or year of birth, then the same sub-set for age, race, hispanicity,"
"location and year applies to the denominator population."
"5. Fertility rates are calculated as the number of births divided by the number of females age 15 - 44 years old in the given"
"year(s). When the numerator is sub-set by mother's age, mother's race, mother's hispanicity, location, or year of birth, then"
"the same sub-set for age, race, hispanicity, location and year applies to the denominator population. However, if you sub-set"
"mother's age selecting some years not in the 15 - 44 range, those years of mother's age ouside this range will not be included"
"in the denominator population. If you sub-set mother's age selecting only years outside the 15 - 44 range, then ""Not"
"Available"" is reported for the denominator population."
"6. Caution should be used when interpreting the Average Age of Mother measure. All ages 12 years and less are coded to 12 years."
"All ages 50 years and over are coded to 50 years. The number of counts in those two age goups are small and should not have a"
"great effect on the average age. Consider doing queries with and without these two age groups and compare the effect on Average"
"Age of Mother measure."
"7. Please note that the Percent of Total presented here may not be consistent with percentages published by NCHS. NCHS excludes"
"births categorized as ""Unknown"", ""Not Stated"", and ""Not on Certificate"" from the denominator when calculating percentages."
"8. Records where the ""Birth Weight"" is ""Unknown or Not Stated"" are not included in the calculation of the ""Average Birth"
"Weight"" measure."
"9. Records where the gestation age is ""Unknown or Not Stated"" are not included in the calculation of the ""Average Gestational"
"Age"" measure."
"10. Records where the ""Number of Prenatal Visits"" is ""Unknown or Not Stated"" are not included in the calculation of the"
"""Average Number of Prenatal Visits"" measure."
"11. Records where the ""Interval Since Last Live Birth"" is ""Unknown or Not Stated"" or ""Zero to 3 months"" are not included"
"in the calculation of the ""Average Interval Since Last Live Birth"" measure."
"12. Records where the ""Interval Since Last Other Pregnancy Outcome"" is ""Unknown or Not Stated"" or ""Zero to 3 months"" are"
"not included in the calculation of the ""Average Interval Since Last Other Pregnancy Outcome"" measure."
"13. Connecticut population data for 2022-2023 are reported in the ""Unidentified counties"" row because population estimates for"
"Connecticut legacy counties are not available for 2022-2023. Birth and Fertility rate are not available for 2022-2023 because"
"legacy Connecticut counties population estimates are not available."
"14. Birth rates and fertility rates are calculated using the following populations: The populations for year 2023 are from the"
"postcensal single race series of July 1st estimates of the resident population, released by Census Bureau on June 27, 2024. The"
"2023 population estimates are based on the Blended Base produced by the US Census Bureau in lieu of the April 1, 2020 decennial"
"population count. The populations for year 2022 are from the postcensal single race series of July 1st estimates of the resident"
"population, released by Census Bureau on June 22, 2023. The 2022 population estimates are based on the Blended Base produced by"
"the US Census Bureau in lieu of the April 1, 2020 decennial population count. The populations for year 2021 are from the"
"postcensal single race series of July 1st estimates of the resident population, released by Census Bureau on June 30, 2022. The"
"2021 population estimates are based on the Blended Base produced by the US Census Bureau in lieu of the April 1, 2020 decennial"
"population count. The populations for year 2020 are from the postcensal single race series of July 1st estimates of the resident"
"population, released by Census Bureau on July 27, 2021. The populations for year 2019 are from the postcensal single race series"
"of July 1st estimates of the resident population, released by Census Bureau on June 25, 2020; The populations for year 2018 are"
"from the postcensal single race series of July 1st estimates of the resident population, released by Census Bureau on June 21,"
"2019; The populations for year 2017 are from the postcensal single race series of July 1st estimates of the resident population,"
"released by Census Bureau on June 21, 2018; The populations for year 2016 are from the postcensal single race series of July 1st"
"estimates of the resident population, released by Census Bureau on June 22, 2017. More information:"
"http://wonder.cdc.gov/wonder/help/Natality-expanded.html#Denominator-Population-Sources."
"15. The independent city of Baltimore, Maryland (FIPS code 24510) is reported separately from Baltimore County (FIPS code"
"24005)."
"16. The independent city of St. Louis, Missouri (FIPS code 29510) is reported separately from St. Louis County (FIPS code"
"29189)."
"17. Bronx, New York (FIPS code 36005) represents Bronx Borough, New York City."
"18. Kings County, New York (FIPS code 36047) represents Brooklyn Borough, New York City."
"19. New York County, New York (FIPS code 36061) represents Manhattan Borough, New York City."
"20. Queens, New York (FIPS code 36081) represents Queens Borough, New York City."
"21. Richmond County, New York (FIPS code 36085) represents Staten Island Borough, New York City."
